Sample_title	482N1 shLuciferase rep1	482N1 shLuciferase rep2	482N1 shArntl2 #1 rep1	482N1 shArntl2 #1 rep2	482N1 shArntl2 #2 rep1	482N1 shArntl2 #2 rep2	end
Alkbh1	13.6305	14.4741	17.583	16.8054	11.4481	13.1559	ALKBH1
Alkbh2	16.01388	15.02807	24.76757	25.1882	18.16312	15.71877	ALKBH2
Alkbh3	42.4974	39.01066	46.01947	44.190962	45.51922	41.50345	ALKBH3
Alkbh4	10.05607	8.836544	9.002612	8.543191	7.278235	7.524015	ALKBH4
Alkbh5	30.8318	43.9	65.7693	66.9401	33.1319	53.4677	ALKBH5
Alkbh6	20.6832	24.1112	36.099	33.2777	17.2613	18.2059	ALKBH6
Alkbh7	15.291709	9.548317	8.524828	7.961185	18.470211	13.5888	ALKBH7
Alkbh8	9.5332	12.3387	14.82398	18.54872	8.72941	9.38064	ALKBH8
Allc	0.155871	0	0	0	0	0.148571	ALLC
Alms1	2.8547	4.15426	3.40908	3.61432	2.831629	4.37791	ALMS1
Alox12	0.338300479	0.473418996	0.298540987	0.498394	0.088498137	0.505590694	ALOX12
Alox12b	0	0	0	0	0	0	ALOX12B
Alox15	0.0847382	0.13841	0.0468254	0.0623952	0	0.0399616	ALOX15
Alox5	0	0	0.0389313	0	0.124183	0.0332832	ALOX5
Alox5ap	0.883754	0.845171	0.860328	0.65045	0.869245	0.945472	ALOX5AP
Alox8	0.768937	0.612334	0.467954	0.410589	0.522811	0.4118	ALOX15B
Aloxe3	0.154695	0.126158	0.21345	0.170299	0.203454	0.32854	ALOXE3
Alpi	0.129074	0.046758	0.189574	0.189485	0.302117	0.121707	ALPP
Alpk1	14.0284	15.246	22.8631	24.4753	6.9568	9.16141	ALPK1
Alpk2	0.0262279	0	0	0	0	0.0123665	ALPK2
Alpk3	0.0292238	0.0316706	0	0.0641813	0.0641802	0.0412963	ALPK3
Alpl	0.03859753785	0.292718142	1.18545	0.84692953	0.135104104	0.108604121	ALPL
Alppl2	0	0	0	0	0.0414513	0.0889597	ALPPL2
Als2	6.00427	6.933054	10.29151	11.109386	7.61806	10.57872	ALS2
Als2cl	19.72492	27.85176	50.80392	52.12849	24.5315	35.30619	ALS2CL
Als2cr12	1.1849133	1.20472	0.396473	0.329805	2.2211087	1.562814	ALS2CR12
Alx1	0.043575	0	0	0	0.0772032	0	ALX1
Alx3	0	0	0	0	0	0	ALX3
Alx4	0.0388644	0.118896	0	0.0271272	0.0961939	0.0689087	ALX4
Alyref	80.0486	93.2833	82.4459	87.6571	102.492	106.263	ALYREF
Amacr	3.96646	5.94244	10.0903	9.32868	5.13257	4.86371	AMACR
Ambn	0.058516	0	0	0	0	0.0557288	AMBN
Ambp	0	0.0926988	0.376697	0	0	0	AMBP
Ambra1	12.23169	18.83563	33.43561	34.86159	12.47932	20.37953	AMBRA1
Amd2	7.14891	9.10464	5.78874	6.70441	7.49762	8.73061	AMD1
Amdhd1	0.645343	0.42124	0.238459	0.189644	0.718813	0.731411	AMDHD1
Amdhd2	44.6215	48.7791	46.9107	44.5943	32.8807	43.7388	AMDHD2
Amelx	0	0	0	0	0	0	AMELY
Amer1	8.20474	9.04355	5.61208	6.36302	5.29962	8.31431	AMER1
Amer2	0.367168	0.617013	5.64097	5.86793	0.39055	0.532016	AMER2
Amer3	0	0	0	0	0	0	AMER3
Amfr	56.1481	66.1344	112.941	107.156	52.4741	63.8621	AMFR
Amh	0.170088	0.0609055	0.123257	0	0.195535	0.313995	AMH
Amhr2	2.29057	3.07431	8.57187	6.19219	3.56992	4.96833	AMHR2
Amigo1	7.17727	9.81939	8.0021	7.898631	3.62858	6.121429	AMIGO1
Amigo2	0.7064300354439	0.73185100567208	1.446735	1.0921400359241	1.575609	2.04452	AMIGO2
Amigo3	0.583828	0.633725	1.9308	1.70945	0.614111	0.768726	AMIGO3
Ammecr1	6.03405	8.19641	9.94625	9.17582	3.81436	6.00777	AMMECR1
Ammecr1l	18.7521	24.22876	31.271162	33.649383	16.301529	23.26958	AMMECR1L
Amn	0.43358	0.11672	0.828465	1.17194	0.234314	0.149487	AMN
Amn1	74.97938	55.69269	52.96336	49.41009	68.24724	66.8124	AMN1
Amot	4.915098	7.25725	9.10405	9.78899	2.39436	3.273410147887	AMOT
Amotl1	21.0643	31.663	13.6989	13.7442	18.7312	33.8878	AMOTL1
Amotl2	24.7315	40.9913	102.014	101.966	39.6634	58.9493	AMOTL2
Ampd1	0.179194	0.195424	0.0995302	0.198235	0.158176	0.254591	AMPD1
Ampd2	31.21726	44.84885	52.620276	52.35571	16.7103428	25.09493	AMPD2
Ampd3	3.369705	4.752999	5.670925	6.79827	4.24408	7.24959	AMPD3
Amph	0.061888709	0.13481062	0.034265241	0	0.10890898	0.14625821	AMPH
Amt	5.378	4.31227	7.81717	7.95449	3.63452	4.07563	AMT
Amtn	0	0	0	0	0	0	AMTN
Amy1	0.346537	0.303689	0.388215	0.516684	0.246345	0.0665597	AMY2A
Amy2a3	0.0255382	0.0335871	0.0129307	0.0150596	0.0180628	0.00971999	AMY2B
Amz1	0.500342	0.580762	1.76457	2.1396	1.02939	1.00763	AMZ1
Amz2	18.4562	24.08461	31.31622	33.32473	20.39261	25.6147	AMZ2
Anapc1	33.969339	45.862794	64.8311	69.9398	32.994575	49.76929	ANAPC1
Anapc10	17.2067	12.78757	10.87281	11.48891	16.86302	12.86565	ANAPC10
Anapc11	28.16289	30.30628	33.63107	30.99394	44.05959	41.35914	ANAPC11
Anapc13	137.22457	160.78283	96.33274	103.50205	147.0768	115.13627	ANAPC13
Anapc15	35.179774	30.713638458	25.24884727	23.554354	34.7135610677	35.138083	ANAPC15
Anapc16	33.6554	28.29649	41.12296	39.3129	30.0595	26.4444	ANAPC16
Anapc2	91.7851	115.528	98.0973	101.546	117.77	149.581	ANAPC2
Anapc4	68.0522	83.107	84.6291	83.9637	63.0035	68.5199	ANAPC4
Anapc5	111.5476	133.40941	138.565343	143.7179	121.32516	151.66351	ANAPC5
Anapc7	25.6887	30.1879	27.338	30.8327	27.2444	35.9064	ANAPC7
Ang	0.760537	1.16334	1.34649	1.80377	3.17879	1.89195	ANG
Angel1	1.79382	3.08067	3.22774	4.19524	1.8984	2.70266	ANGEL1
Angel2	12.964531	13.8979000013183	23.11781	23.002142	9.571369	12.433256	ANGEL2
Angpt1	0	0.02844537	0	0	0	0.0495213	ANGPT1
Angpt2	1.29105	1.27612	2.94375	2.28485	2.98489	2.79544	ANGPT2
Angpt4	0.126641	0.0916351	0	0.0619265	0.111105	0.198275	ANGPT4
Angptl1	0	0.0561604	0.0573541	0.152364	0.0912169	0	ANGPTL1
Angptl2	69.113	101.982	22.4977	22.3675	52.4632	78.4018	ANGPTL2
Angptl3	0	0	0	0	0	0	ANGPTL3
Angptl4	69.842	79.202	77.5574	78.2147	56.6868	66.5164	ANGPTL4
Angptl6	1.5842	2.54747	36.1529	38.4782	4.25867	3.95316	ANGPTL6
Angptl7	0.34852	0.163006	0.386023	0.29758	0.0878959	0.142206	ANGPTL7
Ank	179.591	252.772	254.068	253.809	90.4108	127.228	ANKH
Ank1	0.84070843987	1.48204541	0.62415941128	0.92257	1.04959956291145	1.33355005436987	ANK1
Ank3	7.3536579	11.1689379698843	13.398936	13.377583517566	11.5129131	19.3501166	ANK3
Ankar	0.02387259	0	0	0.03544747	0.02125653	0.02272726	ANKAR
Ankdd1b	0.187391	0.170136	0.104139	0.138116	0.110182	0.0887703	ANKDD1B
Ankef1	0.885448	0.673057	0.771943	1.13711	0.918366	0.876193	ANKEF1
Ankfn1	0	0.0412	0	0	0	0	ANKFN1
Ankfy1	16.4432	22.4535	25.6825	28.146	16.5779	25.403	ANKFY1
Ankhd1	15.0587	21.034	28.0615	29.708	15.2325	24.9093	ANKHD1-EIF4EBP3
Ankib1	7.825397	10.12813	20.34435	20.27502	6.348676	10.55593	ANKIB1
Ankk1	0.0374488	0	0	0	0	0	ANKK1
Ankle1	2.75391	3.54911	1.526369	1.00677	3.88685	4.715842	ANKLE1
Ankle2	17.5002	22.36698	25.0729	26.21972	16.87409	24.18091	ANKLE2
Ankmy1	0.0296449	0	0.0650891	0	0.0519553	0.0835459	ANKMY1
Ankmy2	18.0792	21.3515	12.883	12.954	17.8243	20.921	ANKMY2
Ankra2	18.563126	19.080369	26.606716	28.260465	15.552334	18.851673	ANKRA2
Ankrd1	221.916	301.867	175.716	184.851	181.735	222.44	ANKRD1
Ankrd10	25.69963	24.7516	44.32822	46.53543	22.67284	25.74792	ANKRD10
Ankrd11	32.0246	50.4088	90.1565	94.8851	32.45454	62.1099	ANKRD11
Ankrd12	2.8103	3.44391	6.81471	6.6839	1.72539	2.65907	ANKRD12
Ankrd13a	26.0348	36.359	39.6099	40.889	21.3647	34.4006	ANKRD13A
Ankrd13b	19.96046	26.35366	32.49241	29.71108	17.14198	23.95106	ANKRD13B
Ankrd13c	22.9712	30.6037	27.6965	29.2038	16.814	21.9192	ANKRD13C
Ankrd13d	11.6011	12.9686	12.1578	12.912	12.0125	13.9648	ANKRD13D
Ankrd16	16.3212	15.2758	16.956	18.4263	9.14384	8.84493	ANKRD16
Ankrd17	29.63020493	46.007899	53.237277	57.528771203	24.718669	44.144641	ANKRD17
Ankrd2	0.193079	0.104671	0	0	0	0.182068	ANKRD2
Ankrd22	0	0	0	0	0	0	ANKRD22
Ankrd23	1.86697	2.16735	2.80462	2.42589	1.48825	1.83843	ANKRD23
Ankrd24	4.25309	3.53041	6.23075	6.45677	4.02162	4.70636	ANKRD24
Ankrd26	2.86776	5.17119	9.61993	9.80708	3.7753	5.31878	ANKRD26
Ankrd27	20.72444	28.02813	33.35126	34.61494	24.47066	34.28046	ANKRD27
Ankrd28	55.949	65.6398	56.2165	56.2108	57.4292	75.2254	ANKRD28
Ankrd29	0.790635	0.601658	0.153769	0.152931	1.49467	1.56937	ANKRD29
Ankrd31	0	0	0	0	0.0162368	0.0173869	ANKRD31
Ankrd33	0	0.0764174	0	0	0	0	ANKRD33
Ankrd33b	0.039577199	0.028766073	0	0	0	0.0249443298	ANKRD33B
Ankrd34a	0.218944	0.354634	0.199647	0.15913	0.665643	1.12091	ANKRD34A
Ankrd34b	0.0264713	0	0	0.039076	0.0234164	0.0249826	ANKRD34B
Ankrd34c	0	0	0	0	0.0134754	0.021713	ANKRD34C
Ankrd35	0.0690866	0.0498981	0	0.0672662	0.141177	0.108043	ANKRD35
Ankrd37	46.1372	37.6687	7.94954	6.23089	31.8522	31.2822	ANKRD37
Ankrd39	5.080851	6.040633	5.619018	6.695789	4.892555	5.116811	ANKRD39
Ankrd40	22.98853	28.17326	65.3717	58.0414	34.6901	41.7866	ANKRD40
Ankrd42	1.681552	1.71399	2.25404	3.15145	1.30786	2.39134	ANKRD42
Ankrd44	3.60231	4.6436	1.13748	0.980263	2.76078	4.899002	ANKRD44
Ankrd45	0	0.0331571	0	0	0.0269346	0.0289491	ANKRD45
Ankrd46	22.4911	28.7751	39.9302	39.8035	21.5318	27.004	ANKRD46
Ankrd49	15.52865	13.89951	13.8964	14.08153	13.15069	12.1627	ANKRD49
Ankrd50	84.0818	127.8452	89.4456	93.3784	100.7393	165.1061	ANKRD50
Ankrd52	17.2606	26.1294	27.0124	27.8597	16.5239	29.5178	ANKRD52
Ankrd53	0.12082	0.0656353	0.267705	0.266454	0.212253	0.114179	ANKRD53
Ankrd54	19.7454	22.1769	27.6447	24.5043	19.5086	24.973	ANKRD54
Ankrd55	0	0	0	0.167825	0.09939343	0.0340409	ANKRD55
Ankrd6	0.623258	0.970487	0.542769	0.687562	0.49136	0.651362	ANKRD6
Ankrd60	0	0	0	0	0	0	ANKRD60
Ankrd61	0.73115714059	0.464155	0.563076	0.774191	0.319626	0.385297	ANKRD61
Ankrd63	0.0189946	0	0.020917	0	0	0.0354256	ANKRD63
Ankrd65	0.0459695	0.200073	0.101341	0	0	0.0435159	ANKRD65
Ankrd66	0.167756	0	0	0	0.296443	0.55957	ANKRD66
Ankrd7	0	0	0	0	0	0	ANKRD7
Ankrd9	9.03185	11.37159	12.13609	9.3171	12.583672	17.086154	ANKRD9
Anks1	6.718987	10.72821	13.3376	14.37672	5.993203	9.97796	ANKS1A
Anks1b	7.1714641	8.6328289	7.4256873	6.404125	6.7156171	8.996996	ANKS1B
Anks3	13.7487	15.643	24.6134	23.8114	12.2254	13.9444	ANKS3
Anks4b	2.04372	2.06155	14.3788	13.1577	2.99685	4.01743	ANKS4B
Anks6	2.253737	3.04195	3.79954	3.26902	2.200045	3.99435	ANKS6
Ankzf1	14.882963	17.277696	19.1707	20.45549	12.81267	15.03141	ANKZF1
Anln	45.706	55.3676	18.4818	17.1617	73.6291	100.914	ANLN
Ano1	113.85524	166.552	192.71268	191.941044	71.906976	113.29963	ANO1
Ano10	27.532697	37.4368830140265	43.270305	44.2991510021275	25.63328411607	31.184756	ANO10
Ano2	0.0251159	0.0273026	0.0555272	0.0369109	0.0884491	0.0474765	ANO2
Ano3	0.018376	0	0	0	0	0	ANO3
Ano4	0	0.0816856	0.028085229712	0.037255894444	0	0.0236357	ANO4
Ano5	0	0	0	0	0	0.01341189189	ANO5
Ano6	62.9417	93.3173	79.1145	83.9555	46.2024	70.1078	ANO6
Ano7	0.0249988	0.0525813	0.137548	0.219569	0.0219296	0.0705648	ANO7
Ano8	28.78782	41.27878	35.355975	34.54605	23.12906	38.10942	ANO8
Ano9	0.553626	0.602895	0.688847	0.611138	1.31164	1.93115	ANO9
Anp32a	161.0048	213.631	157.0891	156.5142	173.0329	201.9294	ANP32A
Anp32b	140.459	191.31	192.67	190.791	193.605	231.286	ANP32B
Anp32e	94.89551	134.415067	69.33814	66.55115	82.362755	108.252241	ANP32E
Anpep	3.487734	6.09871	1.185528	1.1499125	3.1215	4.68713	ANPEP
Antxr1	2.89907	3.34744	22.864021	24.370106	2.034319	2.86729	ANTXR1
Antxr2	39.3545	60.2365	76.8661	79.4869	64.6492	94.2105	ANTXR2
Antxrl	0	0	0	0	0	0	ANTXRL
Anxa1	1362.44	1218.07	360.432	362.69	1376.96	1237.99	ANXA1
Anxa10	141.127127	112.20342	71.447929	71.63766	167.5235	140.31828	ANXA10
Anxa11	23.7446	35.9609	29.2078	30.0421	36.0809	49.4062	ANXA11
Anxa13	1.17344	0.940165	1.39553	0.922834	1.8585	2.16005	ANXA13
Anxa2	3184.94	3572.28	1070.31	1066.31	3502.95	3699.36	ANXA2
Anxa3	658.017	647.646	825.08	850.218	712.33	648.184	ANXA3
Anxa4	296.55891	369.23576	446.1774	447.37427	425.11972	512.36683	ANXA4
Anxa5	814.597	1036.53	888.681	891.694	1287.9	1539.71	ANXA5
Anxa6	106.9404	144.1969	153.8417	163.6316	179.9305	247.9778	ANXA6
Anxa7	120.861122	136.74409	90.63518	87.97343	133.19574	143.12345	ANXA7
Anxa8	110.25184	136.237015	64.70151	71.44423	74.9562	85.1341	ANXA8
Anxa9	3.48006	4.694093	4.41381	4.63572	4.24185	3.728348	ANXA9
Aoah	0	0.317021	0.478906	0.107423	0.0974226	0.0348853	AOAH
Aoc1	0	0	0	0	0.0662484	0	AOC1
Aoc2	2.38465	2.70513	5.25498	5.568	1.95812	1.86791	AOC2
Aoc3	0	0.0244069	0.025005	0.0660736	0	0	AOC3
Aox1	11.5623	14.515	7.01378	7.62388	8.1122	11.6953	AOX1
Ap1ar	47.6811	61.7741	111.6287	110.8225	59.896	85.3444	AP1AR
Ap1b1	25.99728251	37.57993113	43.7915408	42.07882	28.2536900045609	44.6092351	AP1B1
Ap1g1	24.7297	34.42314	53.4158	54.2689	21.7082	31.10811	AP1G1
Ap1g2	12.06146	15.075168	24.575781	25.18561	13.6467	18.468367	AP1G2
Ap1m1	43.063	56.1824	60.8732	66.207	42.3069	55.9768	AP1M1
Ap1m2	0	0	0	0	0	0	AP1M2
Ap1s1	217.096	234.595	133.466	129.852	232.876	236.399	AP1S1
Ap1s2	30.13582	29.23135	21.02713	23.576	27.6429	33.832	AP1S2
Ap1s3	4.05078	4.52029	3.39453	3.53417	3.11651	3.47866	AP1S3
Ap2a1	41.085205	65.0769	73.682621	75.3008	44.230126	72.132205	AP2A1
Ap2a2	28.4478	41.0308	65.1484	69.3916	39.6891	57.6068	AP2A2
Ap2b1	48.205	75.9679	70.4898	75.64172	65.4844	96.422184	AP2B1
Ap2m1	123.7639	157.8174	151.4256	151.171	155.7507	188.7353	AP2M1
Ap2s1	218.167	243.015	173.124	163.659	177.839	199.776	AP2S1
Ap3b1	37.7053	50.3357	50.6228	53.8819	41.964	59.7122	AP3B1
Ap3b2	0.0248607	0.0270784	0.0547021	0.0364522	0	0.0467587	AP3B2
Ap3d1	27.7467	40.0799	49.2069	49.9495	23.106	35.7405	AP3D1
Ap3m1	21.7789	27.2598	32.342	32.6494	28.804	36.5754	AP3M1
Ap3m2	13.431404	16.611477	12.846	15.7911	13.1527	15.5769	AP3M2
Ap3s1	156.371714	134.054	68.130899	69.074169	110.349414	115.39434	AP3S1
Ap3s2	11.6916	14.1341	18.8221	18.1548	11.841	14.4018	AP3S2
Ap4b1	20.63894	23.13586	19.6873514964	21.586449	17.86722	18.95645	AP4B1
Ap4e1	6.94401	8.29542	8.83894	9.10177	5.24626	7.36045	AP4E1
Ap4m1	26.722	28.2582	32.5664	35.5361	26.4845	33.1124	AP4M1
Ap4s1	4.24411	4.372784	8.330914	5.232944	5.054621	4.34544	AP4S1
Ap5b1	1.59124	2.7898	6.78184	6.73155	2.16631	3.64794	AP5B1
Ap5m1	6.07096	7.31286	9.71667	10.3337	6.12567	6.89182	AP5M1
Ap5s1	15.72069	21.978186	18.519642	17.01744	18.78321	22.454061	AP5S1
Ap5z1	6.43252	7.93948	13.1331	13.6368	4.5769	6.01068	AP5Z1
Apaf1	13.80627	18.15004	14.170230002084	15.35792	16.29323	22.35813	APAF1
Apba1	0.0285282	0.0617594	0.0313869	0	0.0499663	0.10666	APBA1
Apba2	0	0	0	0	0	0	APBA2
Apba3	18.3038	23.9112	30.8193	28.7239	19.0343	28.1391	APBA3
Apbb1	16.37022	21.720126	37.03589	35.13395	21.6271607511	31.97549	APBB1
Apbb1ip	5.42913	8.23088	0.649969	0.308225	12.6237	18.7248	APBB1IP
Apbb2	25.22019	35.86619	20.435297	20.14088	21.657491	33.03293	APBB2
Apbb3	12.4097	14.4305	18.8888	19.6238	10.7479	13.2373	APBB3
Apc	6.9501	10.907	18.8937	21.2206	7.35643	12.7138	APC
Apc2	0.559780902	0.805284	1.606281	1.76534103944	0.899013	1.561076	APC2
Apcdd1	4.30294	7.09973	1.98324	2.32792	2.00196	3.83039	APCDD1
Apcs	0	0	0	0	0	0	APCS
Apeh	47.513	58.4743	63.4947	62.3104	46.2066	58.707	APEH
Apex1	106.615	122.419	160.256	158.086	91.6498	99.8345	APEX1
Apex2	10.537331	14.854181	23.090458	19.673666	9.809362	12.07308	APEX2
Aph1a	80.7815	105.5579	96.9659	98.7668	78.953	92.9143	APH1A
Aph1b	7.69558	8.62382	7.21336	7.44643	6.23154	8.60992	APH1B
Api5	97.8075	120.0758	114.4614	123.165	87.0403	102.8711	API5
Apip	67.4911	57.9176	32.1751	37.2378	60.5326	49.281	APIP
Apitd1	9.95129	8.46023	3.98586	3.57938	9.28552	9.28856	APITD1
Aplf	9.08339	11.48098	9.36863	9.78022	8.77074	10.95755	APLF
Apln	0.789419	1.23684	0.280194	0.651156	3.38644	5.73634	APLN
Aplnr	0.0851331	0.0308958	0.0629891	0.0837591	0.125453	0.0539914	APLNR
Aplp1	3.26445	3.74597	5.43772	6.87421	3.55922	5.00792	APLP1
Aplp2	197.60358	294.61955	195.50758	201.6840379	144.33161	210.78786	APLP2
Apmap	12.4679	14.287	33.1924	32.9691	7.4967	8.68219	APMAP
Apoa1	0.654512	0.238203	5.22597	2.57565	3.40498	2.2794	APOA1
Apoa1bp	232.772	208.934	155.305	167.814	296.776	273.421	APOA1BP
Apoa2	0.274942	0	0	0.397081	0.940419	0.128036	APOA2
Apoa4	0	0	0	0	0	0	APOA4
Apoa5	0	0	0.165843	0	0	0.0472276	APOA5
Apob	10.9536	15.2009	71.8049	86.1502	10.046	16.463	APOB
Apobec1	0.596537	0.812542	5.88452	5.50916	0.959278	1.65701	APOBEC1
Apobec2	0.0893923	0.096894	0.0989504	0	0.0781768	0	APOBEC2
Apobec3	27.6020400067612	35.2896780040223	38.97509	39.50028	25.6057963433	33.200672	APOBEC3B
Apobec4	0	0	0	0	0	0	APOBEC4
Apobr	2.26437	3.23531	1.41605	1.16479	2.05796	2.54892	APOBR
Apoc1	1.11669	2.81651	0.416811	1.66171	2.56086	0.904534	APOC1
Apoc2	48.0189	33.1427	15.01409	13.13727	29.65526498	27.06453	APOC2
Apoc3	0	0	0	0	0	0	APOC3
Apoc4	2.64668	0.866378	0.296499	0	1.62202	1.8028	APOC4
Apod	0.21286	0	0.0587623	0.0777743	0.0470453	0.0497616	APOD
Apoe	8.857319	8.3404	22.74517	20.38183	10.1263	12.839697	APOE
Apof	0.446326	0.423992	0.246737	0.245268	0.147353	0.423182	APOF
Apoh	0.18965	0.10341	0.211432	0.560926	0.417127	0.632934	APOH
Apol6	0.205063	0.166448	0.227862	0.2028962	0.135203	0.0484041	APOL6
Apol8	0.278994	0.669018	0.680302	0.493299	0.147466	0.636878	APOL2
Apold1	1.36316	1.55823	2.12875	2.20724	1.38725	1.77769	APOLD1
Apom	0	0.746242	0.189526	1.00895	0	0.326952	APOM
Apoo	36.858718	30.452082	35.657231	33.524389	23.381564	24.126755	APOO
Apool	47.7623	48.478056	31.5772	33.475586	40.295237	36.865947	APOOL
Apopt1	36.62402	29.13975	54.53538	50.83296	25.7584	26.304	APOPT1
App	125.8792	179.2666	288.4215	286.68	124.0136	181.7173	APP
Appbp2	23.6657	30.8424	41.0869	40.8906	31.8939	40.7899	APPBP2
Appl1	7.90641	9.68292	11.6435	11.7443	9.30057	11.4658	APPL1
Appl2	81.9332	101.082	27.9272	25.3059	80.9278	108.866	APPL2
Aprt	524.855	551.895	384.784	411.317	550.235	534.06	APRT
Aptx	4.0211	4.6313	3.875894	4.255982	3.951409	3.824721	APTX
Aqp1	2.69885	2.5846	10.2337	10.1218	2.50239	3.07204	AQP1
Aqp11	4.7126	8.57803	5.4719	4.91686	7.44107	9.16215	AQP11
Aqp12	0	0	0	0	0.08534216	0	AQP12B
Aqp2	0	0.0741238	0	0	0	0	AQP2
Aqp3	7.48325	10.3138	1.38989	1.32864	6.24404	8.19015	AQP3
Aqp4	0	0	0	0.032327	0.0193821	0	AQP4
Aqp5	12.1123	13.6247	11.6253	10.7215	8.6671	9.64217	AQP5
Aqp6	0	0	0	0	0	0	AQP6
Aqp7	0.123533	0.134008	0.445741	0.424893	0.145422	0.079008	AQP7
Aqp8	0.870129	0.786556	0.882903	1.172293	3.05917	4.27176	AQP8
Aqp9	0.31796	0.2607577	11.953243	10.207482	0.105866	0.300933	AQP9
Aqr	21.92851	34.33697	50.104887	51.84534	19.941767	32.18989	AQR
Ar	1.26443	1.8762	0.542196	0.538385	1.06598	1.89069	AR
Araf	92.318	84.5664	80.468	78.8203	75.5991	86.84	ARAF
Arap1	9.756514	15.49486137	12.268628	12.458025952994	11.913756	19.595165	ARAP1
Arap2	16.9087	24.257	8.81439	8.91039	5.66774	9.39738	ARAP2
Arap3	39.79998	51.9501	18.99801	18.37684	38.69927	56.3794	ARAP3
Arc	1.861531	1.983142	8.6573	9.75912	1.465253	2.19062	ARC
Arcn1	98.9394	130.142	213.653	222.823	130.983	177.043	ARCN1
Areg	182.156	221.705	197.103	204.431	136.999	160.367	AREG
Arel1	12.486935	19.4326	18.292008	17.654043	10.475706	13.351345	AREL1
Arf1	383.02274	478.73624	580.8892	608.3291	431.73777	495.78765	ARF1
Arf3	96.1463	155.083	142.566	151.015	89.6311	135.59	ARF3
Arf4	428.146	462.54	327.424	339.281	323.272	362.789	ARF4
Arf5	199.171	212.525	219.678	212.011	220.853	221.817	ARF5
Arf6	93.3654	116.661	103.271	98.8353	91.0783	122.344	ARF6
Arfgap1	46.224822	59.468467	115.290988	113.39538	47.187961	60.755069	ARFGAP1
Arfgap2	41.06705	46.70287	50.38747	50.57945	42.29965	43.93223	ARFGAP2
Arfgap3	31.0903	37.343	62.3269	65.691	32.092	40.5976	ARFGAP3
Arfgef1	19.6152	26.8514	68.9246	73.3085	23.1739	35.737	ARFGEF1
Arfgef2	15.0695	24.1632	37.1684	38.7726	14.8584	26.3273	ARFGEF2
Arfip1	52.71325	56.14893	88.70143	86.31396	62.13325	76.94188	ARFIP1
Arfip2	24.88603	29.93419	56.28571	61.13143	30.17173	36.333438	ARFIP2
Arfrp1	17.077908	17.386702	33.987395	36.320842	20.443208	20.91827	ARFRP1
Arg1	3.05137	2.76006	0.165704	0.659044	1.8414	1.2007	ARG1
Arg2	0.651876	0.621061	0.18127	0.120283	0.431455	1.16927	ARG2
Arglu1	41.31	43.6446	64.0664	65.5499	35.2576	37.8853	ARGLU1
Arhgap1	64.77224	95.760075	86.17847	87.26401	76.414753	115.8196	ARHGAP1
Arhgap10	9.262449	14.82649	12.038256	14.57068	12.171432	17.53561	ARHGAP10
Arhgap11a	27.0133	36.967	19.7558	19.9778	36.9881	53.7585	ARHGAP11A
Arhgap12	22.204725529	26.29429	35.1360824	37.82485	24.7302900067522	29.727006	ARHGAP12
Arhgap15	0	0	0	0	0.0377682	0	ARHGAP15
Arhgap17	11.79126	16.754021	34.80398	32.33472	19.399671489	29.972149412	ARHGAP17
Arhgap18	42.1442	52.1767	31.0866	29.662	63.3033	75.4342	ARHGAP18
Arhgap19	11.27075	15.383304	4.843418	5.05836	22.06823	32.51814	ARHGAP19
Arhgap20	0	0	0	0	0	0	ARHGAP20
Arhgap21	18.090077	26.062486000232	39.374378	41.93331	17.621955	30.009581	ARHGAP21
Arhgap22	20.987167	29.06355	17.22875	16.82291	26.793544	34.4721	ARHGAP22
Arhgap23	9.19194	13.49496	15.36109	14.81662	10.89086	21.17541	ARHGAP23
Arhgap24	0.598907	1.1331248	2.023565	1.839736	1.271882	2.325827	ARHGAP24
Arhgap25	0	0.0655383	0	0	0	0.0285401	ARHGAP25
Arhgap26	0.618358	0.783787	1.922591	2.305162	0.580508	1.110463	ARHGAP26
Arhgap27	7.391804	10.505034	11.110722	11.59828	10.410817	14.633299	ARHGAP27
Arhgap28	0	0	0	0	0	0	ARHGAP28
Arhgap29	4.73909	5.08139	8.7883	9.82344	9.05753	12.3378	ARHGAP29
Arhgap30	0.0873466	0.0237873	0	0.0964707	0.0963906	0.124253	ARHGAP30
Arhgap31	0.983852	1.76452	0.0680236	0.0542201	1.16904	1.74264	ARHGAP31
Arhgap32	1.1025504	1.453899	4.19754	3.920931	0.772244	1.084868	ARHGAP32
Arhgap33	0.361723	0.522142	0.907375	1.02952	0.65147651	0.937537	ARHGAP33
Arhgap36	0.033248	0	0.0369117	0	0	0	ARHGAP36
Arhgap39	5.77521	8.50536	13.02575	12.97407	5.410652	7.93888	ARHGAP39
Arhgap4	0.8362330126725	1.052401	1.57818	1.5094	1.0199560153724	1.674175	ARHGAP4
Arhgap40	0.192103	0.208058	0.896228	0.421817	0.377412	0.361223	ARHGAP40
Arhgap42	12.1711	16.2583	21.1707	21.3915	12.1635	18.259	ARHGAP42
Arhgap44	2.28184	3.22760000283202	8.70963	8.872294	2.9253947445	4.69665	ARHGAP44
Arhgap5	18.4194	23.6702	38.0845	37.3246	18.6516	27.758	ARHGAP5
Arhgap6	12.165255	13.1992214	10.3670006	12.1928713	15.853107	23.02816	ARHGAP6
Arhgap8	12.2791037	16.375989	6.35906885946013	6.6135097963	18.24044052	24.1788	ARHGAP8
Arhgap9	0.0814046	0.114966	0.132289	0	0.105955	0.395622	ARHGAP9
