Mus	Homo
D430041D05Rik	KIAA1549L
D430042O09Rik	KIAA0556
D5Ertd579e	KIAA0232
D630003M21Rik	KIAA1755
D630023F18Rik	C2orf80
D630039A03Rik	C9orf152
D630045J12Rik	KIAA1549
D6Wsu163e	C12orf4
D7Ertd443e	C10orf90
D830031N03Rik	KIAA0754
D8Ertd738e	C19orf53
D930020B18Rik	C12orf56
Daam1	DAAM1
Daam2	DAAM2
Dab1	DAB1
Dab2	DAB2
Dab2ip	DAB2IP
Dach1	DACH1
Dach2	DACH2
Dact1	DACT1
Dact2	DACT2
Dact3	DACT3
Dad1	DAD1
Dag1	DAG1
Dagla	DAGLA
Daglb	DAGLB
Dalir	DALIR
Dalrd3	DALRD3
Dancr	DANCR
Dand5	DAND5
Dao	DAO
Dap	DAP
Dap3	DAP3
Dapk1	DAPK1
Dapk2	DAPK2
Dapk3	DAPK3
Dapl1	DAPL1
Dapp1	DAPP1
Dars	DARS
Dars2	DARS2
Daw1	DAW1
Daxx	DAXX
Dazap1	DAZAP1
Dazap2	DAZAP2
Dazl	DAZ2
Dbf4	DBF4
Dbh	DBH
Dbi	DBI
Dbil5	DBIL5P
Dbn1	DBN1
Dbndd1	DBNDD1
Dbndd2	DBNDD2
Dbnl	DBNL
Dbp	DBP
Dbr1	DBR1
Dbt	DBT
Dbx1	DBX1
Dbx2	DBX2
Dcaf10	DCAF10
Dcaf11	DCAF11
Dcaf12	DCAF12
Dcaf12l1	DCAF12L1
Dcaf12l2	DCAF12L2
Dcaf13	DCAF13
Dcaf15	DCAF15
Dcaf17	DCAF17
Dcaf4	DCAF4
Dcaf5	DCAF5
Dcaf6	DCAF6
Dcaf7	DCAF7
Dcaf8	DCAF8
Dcakd	DCAKD
Dcbld1	DCBLD1
Dcbld2	DCBLD2
Dcc	DCC
Dcdc2a	DCDC2
Dcdc2b	DCDC2B
Dcdc2c	DCDC2C
Dcdc5	DCDC5
Dchs1	DCHS1
Dchs2	DCHS2
Dck	DCK
Dclk1	DCLK1
Dclk2	DCLK2
Dclk3	DCLK3
Dclre1a	DCLRE1A
Dclre1b	DCLRE1B
Dclre1c	DCLRE1C
Dcn	DCN
Dcp1a	DCP1A
Dcp1b	DCP1B
Dcp2	DCP2
Dcps	DCPS
Dcst1	DCST1
Dcst2	DCST2
Dcstamp	DCSTAMP
Dct	DCT
Dctd	DCTD
Dctn1	DCTN1
Dctn2	DCTN2
Dctn3	DCTN3
Dctn4	DCTN4
Dctn5	DCTN5
Dctn6	DCTN6
Dctpp1	DCTPP1
Dcun1d1	DCUN1D1
Dcun1d2	DCUN1D2
Dcun1d3	DCUN1D3
Dcun1d4	DCUN1D4
Dcun1d5	DCUN1D5
Dcx	DCX
Dcxr	DCXR
Dda1	DDA1
Ddah1	DDAH1
Ddah2	DDAH2
Ddb1	DDB1
Ddb2	DDB2
Ddc	DDC
Ddhd1	DDHD1
Ddhd2	DDHD2
Ddi1	DDI1
Ddi2	DDI2
Ddias	DDIAS
Ddit3	DDIT3
Ddit4	DDIT4
Ddit4l	DDIT4L
Ddn	DDN
Ddo	DDO
Ddost	DDOST
Ddr1	DDR1
Ddr2	DDR2
Ddrgk1	DDRGK1
Ddt	DDT
Ddx1	DDX1
Ddx10	DDX10
Ddx11	DDX11
Ddx17	DDX17
Ddx18	DDX18
Ddx19a	DDX19A
Ddx19b	DDX19B
Ddx20	DDX20
Ddx21	DDX21
Ddx23	DDX23
Ddx24	DDX24
Ddx25	DDX25
Ddx27	DDX27
Ddx28	DDX28
Ddx31	DDX31
Ddx39	DDX39A
Ddx39b	DDX39B
Ddx3x	DDX3X
Ddx3y	DDX3Y
Ddx4	DDX4
Ddx41	DDX41
Ddx42	DDX42
Ddx43	DDX43
Ddx46	DDX46
Ddx47	DDX47
Ddx49	DDX49
Ddx5	DDX5
Ddx50	DDX50
Ddx51	DDX51
Ddx52	DDX52
Ddx54	DDX54
Ddx55	DDX55
Ddx56	DDX56
Ddx58	DDX58
Ddx59	DDX59
Ddx6	DDX6
Ddx60	DDX60
Deaf1	DEAF1
Decr1	DECR1
Decr2	DECR2
Dedd	DEDD
Dedd2	DEDD2
Def6	DEF6
Def8	DEF8
Defb1	DEFB1
Defb12	DEFB105A
Defb14	DEFB103A
Defb18	DEFB113
Defb19	DEFB119
Defb20	DEFB128
Defb21	DEFB118
Defb22	DEFB126
Defb23	DEFB129
Defb25	DEFB124
Defb26	DEFB125
Defb28	DEFB115
Defb29	DEFB116
Defb30	DEFB135
Defb34	DEFB106A
Defb36	DEFB123
Defb41	DEFB110
Defb42	DEFB136
Defb43	DEFB131A
Defb47	DEFB130A
Degs1	DEGS1
Degs2	DEGS2
Dek	DEK
Dennd1a	DENND1A
Dennd1b	DENND1B
Dennd1c	DENND1C
Dennd2a	DENND2A
Dennd2c	DENND2C
Dennd2d	DENND2D
Dennd3	DENND3
Dennd4a	DENND4A
Dennd4b	DENND4B
Dennd4c	DENND4C
Dennd5a	DENND5A
Dennd5b	DENND5B
Dennd6a	DENND6A
Dennd6b	DENND6B
Denr	DENR
Depdc1a	DEPDC1
Depdc1b	DEPDC1B
Depdc5	DEPDC5
Depdc7	DEPDC7
Deptor	DEPTOR
Dera	DERA
Derl1	DERL1
Derl2	DERL2
Derl3	DERL3
Des	DES
Desi1	DESI1
Desi2	DESI2
Det1	DET1
Deup1	DEUP1
Dexi	DEXI
Dffa	DFFA
Dffb	DFFB
Dfna5	DFNA5
Dfnb59	PJVK
Dgat1	DGAT1
Dgat2	DGAT2
Dgat2l6	DGAT2L6
Dgcr14	ESS2
Dgcr2	DGCR2
Dgcr6	DGCR6
Dgcr8	DGCR8
Dgka	DGKA
Dgkb	DGKB
Dgkd	DGKD
Dgke	DGKE
Dgkg	DGKG
Dgkh	DGKH
Dgki	DGKI
Dgkk	DGKK
Dgkq	DGKQ
Dgkz	DGKZ
Dglucy	DGLUCY
Dguok	DGUOK
Dhcr24	DHCR24
Dhcr7	DHCR7
Dhdds	DHDDS
Dhdh	DHDH
Dhfr	DHFR
Dhh	DHH
Dhodh	DHODH
Dhps	DHPS
Dhrs1	DHRS1
Dhrs11	DHRS11
Dhrs13	DHRS13
Dhrs2	DHRS2
Dhrs3	DHRS3
Dhrs4	DHRS4
Dhrs7	DHRS7
Dhrs7b	DHRS7B
Dhrs7c	DHRS7C
Dhrs9	DHRS9
Dhrsx	DHRSX
Dhtkd1	DHTKD1
Dhx15	DHX15
Dhx16	DHX16
Dhx29	DHX29
Dhx30	DHX30
Dhx32	DHX32
Dhx33	DHX33
Dhx34	DHX34
Dhx35	DHX35
Dhx36	DHX36
Dhx37	DHX37
Dhx38	DHX38
Dhx40	DHX40
Dhx57	DHX57
Dhx58	DHX58
Dhx8	DHX8
Dhx9	DHX9
Diablo	DIABLO
Diaph1	DIAPH1
Diaph2	DIAPH2
Diaph3	DIAPH3
Dicer1	DICER1
Dido1	DIDO1
Diexf	DIEXF
Dimt1	DIMT1
Dio1	DIO1
Dio2	DIO2
Dio3	DIO3
Dio3os	DIO3OS
Dip2a	DIP2A
Dip2b	DIP2B
Dip2c	DIP2C
Diras1	DIRAS1
Diras2	DIRAS2
Dirc2	DIRC2
Dis3	DIS3
Dis3l	DIS3L
Dis3l2	DIS3L2
Disc1	DISC1
Disp1	DISP1
Disp2	DISP2
Disp3	DISP3
Dixdc1	DIXDC1
Dkc1	DKC1
Dkk1	DKK1
Dkk2	DKK2
Dkk3	DKK3
Dkk4	DKK4
Dkkl1	DKKL1
Dlat	DLAT
Dlc1	DLC1
Dld	DLD
Dlec1	DLEC1
Dleu7	DLEU7
Dlg1	DLG1
Dlg2	DLG2
Dlg3	DLG3
Dlg4	DLG4
Dlg5	DLG5
Dlgap1	DLGAP1
Dlgap2	DLGAP2
Dlgap3	DLGAP3
Dlgap4	DLGAP4
Dlgap5	DLGAP5
Dlk1	DLK1
Dlk2	DLK2
Dll1	DLL1
Dll3	DLL3
Dll4	DLL4
Dlst	DLST
Dlx1	DLX1
Dlx2	DLX2
Dlx3	DLX3
Dlx4	DLX4
Dlx5	DLX5
Dlx6	DLX6
Dlx6os1	DLX6-AS1
Dmap1	DMAP1
Dmbt1	DMBT1
Dmbx1	DMBX1
Dmc1	DMC1
Dmd	DMD
Dmgdh	DMGDH
Dmkn	DMKN
Dmp1	DMP1
Dmpk	DMPK
Dmrt1	DMRT1
Dmrt2	DMRT2
Dmrt3	DMRT3
Dmrta1	DMRTA1
Dmrta2	DMRTA2
Dmrtb1	DMRTB1
Dmrtc1a	DMRTC1
Dmrtc1b	DMRTC1B
Dmrtc2	DMRTC2
Dmtf1	DMTF1
Dmtn	DMTN
Dmwd	DMWD
Dmxl1	DMXL1
Dmxl2	DMXL2
Dna2	DNA2
Dnaaf1	DNAAF1
Dnaaf2	DNAAF2
Dnaaf3	DNAAF3
Dnaaf5	DNAAF5
Dnah1	DNAH1
Dnah10	DNAH10
Dnah11	DNAH11
Dnah12	DNAH12
Dnah14	DNAH14
Dnah17	DNAH17
Dnah2	DNAH2
Dnah3	DNAH3
Dnah5	DNAH5
Dnah6	DNAH6
Dnah7b	DNAH7
Dnah7c	DNAH7
Dnah8	DNAH8
Dnah9	DNAH9
Dnaic1	DNAI1
Dnaic2	DNAI2
Dnaja1	DNAJA1
Dnaja2	DNAJA2
Dnaja3	DNAJA3
Dnaja4	DNAJA4
Dnajb1	DNAJB1
Dnajb11	DNAJB11
Dnajb12	DNAJB12
Dnajb13	DNAJB13
Dnajb14	DNAJB14
Dnajb2	DNAJB2
Dnajb4	DNAJB4
Dnajb5	DNAJB5
Dnajb6	DNAJB6
Dnajb7	DNAJB7
Dnajb8	DNAJB8
Dnajb9	DNAJB9
Dnajc1	DNAJC1
Dnajc10	DNAJC10
Dnajc11	DNAJC11
Dnajc12	DNAJC12
Dnajc13	DNAJC13
Dnajc14	DNAJC14
Dnajc15	DNAJC15
Dnajc16	DNAJC16
Dnajc17	DNAJC17
Dnajc18	DNAJC18
Dnajc19	DNAJC19
Dnajc2	DNAJC2
Dnajc21	DNAJC21
Dnajc22	DNAJC22
Dnajc24	DNAJC24
Dnajc25	DNAJC25
Dnajc27	DNAJC27
Dnajc28	DNAJC28
Dnajc3	DNAJC3
Dnajc30	DNAJC30
Dnajc4	DNAJC4
Dnajc5	DNAJC5
Dnajc5b	DNAJC5B
Dnajc5g	DNAJC5G
Dnajc6	DNAJC6
Dnajc7	DNAJC7
Dnajc8	DNAJC8
Dnajc9	DNAJC9
Dnal1	DNAL1
Dnal4	DNAL4
Dnali1	DNALI1
Dnase1	DNASE1
Dnase1l1	DNASE1L1
Dnase1l2	DNASE1L2
Dnase1l3	DNASE1L3
Dnase2a	DNASE2
Dnase2b	DNASE2B
Dnd1	DND1
Dner	DNER
Dnhd1	DNHD1
Dnlz	DNLZ
Dnm1	DNM1
Dnm1l	DNM1L
Dnm2	DNM2
Dnm3	DNM3
Dnmbp	DNMBP
Dnmt1	DNMT1
Dnmt3a	DNMT3A
Dnmt3b	DNMT3B
Dnmt3l	DNMT3L
Dnpep	DNPEP
Dnph1	DNPH1
Dntt	DNTT
Dnttip1	DNTTIP1
Dnttip2	DNTTIP2
Doc2a	DOC2A
Doc2b	DOC2B
Doc2g	DOC2GP
Dock1	DOCK1
Dock10	DOCK10
Dock11	DOCK11
Dock2	DOCK2
Dock3	DOCK3
Dock4	DOCK4
Dock5	DOCK5
Dock6	DOCK6
Dock7	DOCK7
Dock8	DOCK8
Dock9	DOCK9
Dohh	DOHH
Dok1	DOK1
Dok2	DOK2
Dok3	DOK3
Dok4	DOK4
Dok5	DOK5
Dok6	DOK6
Dok7	DOK7
Dolk	DOLK
Dolpp1	DOLPP1
Donson	DONSON
Dopey1	DOPEY1
Dopey2	DOPEY2
Dot1l	DOT1L
Dpagt1	DPAGT1
Dpcd	DPCD
Dpcr1	DPCR1
Dpep1	DPEP1
Dpep2	DPEP2
Dpep3	DPEP3
Dpf1	DPF1
Dpf2	DPF2
Dpf3	DPF3
Dph1	DPH1
Dph2	DPH2
Dph3	DPH3
Dph5	DPH5
Dph6	DPH6
Dph7	DPH7
Dpm1	DPM1
Dpm2	DPM2
Dpm3	DPM3
Dpp10	DPP10
Dpp3	DPP3
Dpp4	DPP4
Dpp6	DPP6
Dpp7	DPP7
Dpp8	DPP8
Dpp9	DPP9
Dppa2	DPPA2
Dppa3	DPPA3
Dppa4	DPPA4
Dppa5a	DPPA5
Dpt	DPT
Dpy19l1	DPY19L1
Dpy19l2	DPY19L2
Dpy19l3	DPY19L3
Dpy19l4	DPY19L4
Dpy30	DPY30
Dpyd	DPYD
Dpys	DPYS
Dpysl2	DPYSL2
Dpysl3	DPYSL3
Dpysl4	DPYSL4
Dpysl5	DPYSL5
Dqx1	DQX1
Dr1	DR1
Dram1	DRAM1
Dram2	DRAM2
Drap1	DRAP1
Draxin	DRAXIN
Drc1	DRC1
Drc3	DRC3
Drc7	DRC7
Drd1	DRD1
Drd2	DRD2
Drd3	DRD3
Drd4	DRD4
Drd5	DRD5
Drg1	DRG1
Drg2	DRG2
Drosha	DROSHA
Drp2	DRP2
Dsc1	DSC1
Dsc2	DSC2
Dsc3	DSC3
Dscam	DSCAM
Dscaml1	DSCAML1
Dscc1	DSCC1
Dscr3	DSCR3
Dse	DSE
Dsel	DSEL
Dsg1a	DSG1
Dsg1b	DSG1
Dsg2	DSG2
Dsg3	DSG3
Dsg4	DSG4
Dsn1	DSN1
Dsp	DSP
Dspp	DSPP
Dst	DST
Dstn	DSTN
Dstyk	DSTYK
Dtd1	DTD1
Dtd2	DTD2
Dthd1	DTHD1
Dtl	DTL
Dtna	DTNA
Dtnb	DTNB
Dtnbp1	DTNBP1
Dtwd1	DTWD1
Dtwd2	DTWD2
Dtx1	DTX1
Dtx2	DTX2
Dtx3	DTX3
Dtx3l	DTX3L
Dtx4	DTX4
Dtymk	DTYMK
Dubr	DUBR
Duox1	DUOX1
Duox2	DUOX2
Duoxa1	DUOXA1
Duoxa2	DUOXA2
Dupd1	DUPD1
Dus1l	DUS1L
Dus2	DUS2
Dus3l	DUS3L
Dus4l	DUS4L
Dusp1	DUSP1
Dusp10	DUSP10
Dusp11	DUSP11
Dusp12	DUSP12
Dusp13	DUSP13
Dusp14	DUSP14
Dusp15	DUSP15
Dusp16	DUSP16
Dusp18	DUSP18
Dusp19	DUSP19
Dusp2	DUSP2
Dusp21	DUSP21
Dusp22	DUSP22
Dusp23	DUSP23
Dusp26	DUSP26
Dusp27	DUSP27
Dusp28	DUSP28
Dusp3	DUSP3
Dusp4	DUSP4
Dusp5	DUSP5
Dusp6	DUSP6
Dusp7	DUSP7
Dusp8	DUSP8
Dusp9	DUSP9
Dut	DUT
Dvl1	DVL1
Dvl2	DVL2
Dvl3	DVL3
Dxo	DXO
Dydc1	DYDC1
Dydc2	DYDC2
Dym	DYM
Dynap	DYNAP
Dync1h1	DYNC1H1
Dync1i1	DYNC1I1
Dync1i2	DYNC1I2
Dync1li1	DYNC1LI1
Dync1li2	DYNC1LI2
Dync2h1	DYNC2H1
Dync2li1	DYNC2LI1
Dynll1	DYNLL1
Dynll2	DYNLL2
Dynlrb1	DYNLRB1
Dynlrb2	DYNLRB2
Dynlt1a	DYNLT1
Dynlt1b	DYNLT1
Dynlt1c	DYNLT1
Dynlt1f	DYNLT1
Dynlt3	DYNLT3
Dyrk1a	DYRK1A
Dyrk1b	DYRK1B
Dyrk2	DYRK2
Dyrk3	DYRK3
Dyrk4	DYRK4
Dysf	DYSF
Dytn	DYTN
Dyx1c1	DNAAF4
Dzank1	DZANK1
Dzip1	DZIP1
Dzip1l	DZIP1L
Dzip3	DZIP3
E130308A19Rik	KIAA1958
E130309D02Rik	C7orf26
E130311K13Rik	C3orf33
E2f1	E2F1
E2f2	E2F2
E2f3	E2F3
E2f4	E2F4
E2f5	E2F5
E2f6	E2F6
E2f7	E2F7
E2f8	E2F8
E330009J07Rik	KIAA1147
E4f1	E4F1
Eaf1	EAF1
Eaf2	EAF2
Eapp	EAPP
Ears2	EARS2
Ebag9	EBAG9
Ebf1	EBF1
Ebf2	EBF2
Ebf3	EBF3
Ebf4	EBF4
Ebi3	EBI3
Ebna1bp2	EBNA1BP2
Ebp	EBP
Ebpl	EBPL
Ecd	ECD
Ece1	ECE1
Ece2	ECE2
Ecel1	ECEL1
Ech1	ECH1
Echdc1	ECHDC1
Echdc2	ECHDC2
Echdc3	ECHDC3
Echs1	ECHS1
Eci1	ECI1
Eci2	ECI2
Ecm1	ECM1
Ecm2	ECM2
Ecscr	ECSCR
Ecsit	ECSIT
Ect2	ECT2
Ect2l	ECT2L
Eda	EDA
Eda2r	EDA2R
Edar	EDAR
Edaradd	EDARADD
Edc3	EDC3
Edc4	EDC4
Eddm3b	EDDM3A
Edem1	EDEM1
Edem2	EDEM2
Edem3	EDEM3
Edf1	EDF1
Edil3	EDIL3
Edn1	EDN1
Edn2	EDN2
Edn3	EDN3
Ednra	EDNRA
Ednrb	EDNRB
Edrf1	EDRF1
Eea1	EEA1
Eed	EED
Eef1a1	EEF1A1
Eef1a2	EEF1A2
Eef1akmt1	EEF1AKMT1
Eef1akmt2	EEF1AKMT2
Eef1akmt3	EEF1AKMT3
Eef1b2	EEF1B2
Eef1d	EEF1D
Eef1e1	EEF1E1
Eef1g	EEF1G
Eef2	EEF2
Eef2k	EEF2K
Eef2kmt	EEF2KMT
Eefsec	EEFSEC
Eepd1	EEPD1
Efcab1	EFCAB1
Efcab10	EFCAB10
Efcab11	EFCAB11
Efcab12	EFCAB12
Efcab14	EFCAB14
Efcab2	EFCAB2
Efcab3	EFCAB3
Efcab5	EFCAB5
Efcab6	EFCAB6
Efcab7	EFCAB7
Efcab8	EFCAB8
Efcab9	EFCAB9
Efcc1	EFCC1
Efemp1	EFEMP1
Efemp2	EFEMP2
Efhb	EFHB
Efhc1	EFHC1
Efhc2	EFHC2
Efhd1	EFHD1
Efhd2	EFHD2
Efl1	EFL1
Efna1	EFNA1
Efna2	EFNA2
Efna3	EFNA3
Efna4	EFNA4
Efna5	EFNA5
Efnb1	EFNB1
Efnb2	EFNB2
Efnb3	EFNB3
Efr3a	EFR3A
Efr3b	EFR3B
Efs	EFS
Eftud2	EFTUD2
Egf	EGF
Egfem1	EGFEM1P
Egfl6	EGFL6
Egfl7	EGFL7
Egfl8	EGFL8
Egflam	EGFLAM
Egfr	EGFR
Egln1	EGLN1
Egln2	EGLN2
Egln3	EGLN3
Egr1	EGR1
Egr2	EGR2
Egr3	EGR3
Egr4	EGR4
Ehbp1	EHBP1
Ehbp1l1	EHBP1L1
Ehd1	EHD1
Ehd2	EHD2
Ehd3	EHD3
Ehd4	EHD4
Ehf	EHF
Ehhadh	EHHADH
Ehmt1	EHMT1
Ehmt2	EHMT2
Ei24	EI24
Eid1	EID1
Eid2	EID2
Eid2b	EID2B
Eid3	EID3
Eif1	EIF1
Eif1ad	EIF1AD
Eif1ax	EIF1AX
Eif1b	EIF1B
Eif2a	EIF2A
Eif2ak1	EIF2AK1
Eif2ak2	EIF2AK2
Eif2ak3	EIF2AK3
Eif2ak4	EIF2AK4
Eif2b1	EIF2B1
Eif2b2	EIF2B2
Eif2b3	EIF2B3
Eif2b4	EIF2B4
Eif2b5	EIF2B5
Eif2d	EIF2D
Eif2s1	EIF2S1
Eif2s2	EIF2S2
Eif2s3x	EIF2S3
Eif3a	EIF3A
Eif3b	EIF3B
Eif3c	EIF3C
Eif3d	EIF3D
Eif3e	EIF3E
Eif3f	EIF3F
Eif3g	EIF3G
Eif3h	EIF3H
Eif3i	EIF3I
Eif3j1	EIF3J
Eif3k	EIF3K
Eif3l	EIF3L
Eif3m	EIF3M
Eif4a1	EIF4A1
Eif4a2	EIF4A2
Eif4a3	EIF4A3
Eif4b	EIF4B
Eif4e	EIF4E
Eif4e1b	EIF4E1B
Eif4e2	EIF4E2
Eif4e3	EIF4E3
Eif4ebp1	EIF4EBP1
Eif4ebp2	EIF4EBP2
Eif4ebp3	EIF4EBP3
Eif4enif1	EIF4ENIF1
Eif4g1	EIF4G1
Eif4g2	EIF4G2
Eif4g3	EIF4G3
Eif4h	EIF4H
Eif5	EIF5
Eif5a	EIF5A
Eif5a2	EIF5A2
Eif5b	EIF5B
Eif6	EIF6
Elac1	ELAC1
Elac2	ELAC2
Elane	ELANE
Elavl1	ELAVL1
Elavl2	ELAVL2
Elavl3	ELAVL3
Elavl4	ELAVL4
Eldr	ELDR
Elf1	ELF1
Elf2	ELF2
Elf3	ELF3
Elf4	ELF4
Elf5	ELF5
Elfn1	ELFN1
Elfn2	ELFN2
Elk1	ELK1
Elk3	ELK3
Elk4	ELK4
Ell	ELL
Ell2	ELL2
Ell3	ELL3
Elmo1	ELMO1
Elmo2	ELMO2
Elmo3	ELMO3
Elmod1	ELMOD1
Elmod2	ELMOD2
Elmod3	ELMOD3
Elmsan1	ELMSAN1
Eln	ELN
Eloa	ELOA
Elob	ELOB
Eloc	ELOC
Elof1	ELOF1
Elovl1	ELOVL1
Elovl2	ELOVL2
Elovl3	ELOVL3
Elovl4	ELOVL4
Elovl5	ELOVL5
Elovl6	ELOVL6
Elovl7	ELOVL7
Elp2	ELP2
Elp3	ELP3
Elp4	ELP4
Elp5	ELP5
Elp6	ELP6
Emb	EMB
Emc1	EMC1
Emc10	EMC10
Emc2	EMC2
Emc3	EMC3
Emc4	EMC4
Emc6	EMC6
Emc7	EMC7
Emc8	EMC8
Emc9	EMC9
Emcn	EMCN
Emd	EMD
Eme1	EME1
Eme2	EME2
Emg1	EMG1
Emid1	EMID1
Emilin1	EMILIN1
Emilin2	EMILIN2
Emilin3	EMILIN3
Eml1	EML1
Eml2	EML2
Eml3	EML3
Eml4	EML4
Eml5	EML5
Eml6	EML6
Emp1	EMP1
Emp2	EMP2
Emp3	EMP3
Emsy	EMSY
Emx1	EMX1
Emx2	EMX2
Emx2os	EMX2OS
En1	EN1
En2	EN2
Enah	ENAH
Enam	ENAM
Enc1	ENC1
Endod1	ENDOD1
Endog	ENDOG
Endou	ENDOU
Endov	ENDOV
Eng	ENG
Engase	ENGASE
Enho	ENHO
Enkd1	ENKD1
Enkur	ENKUR
Eno1	ENO1
Eno2	ENO2
Eno3	ENO3
Eno4	ENO4
Enoph1	ENOPH1
Enox1	ENOX1
Enox2	ENOX2
Enpep	ENPEP
Enpp1	ENPP1
Enpp2	ENPP2
Enpp3	ENPP3
Enpp4	ENPP4
Enpp5	ENPP5
Enpp6	ENPP6
Enpp7	ENPP7
Ensa	ENSA
Enthd1	ENTHD1
Entpd1	ENTPD1
Entpd2	ENTPD2
Entpd3	ENTPD3
Entpd4	ENTPD4
Entpd4b	ENTPD4
Entpd5	ENTPD5
Entpd6	ENTPD6
Entpd7	ENTPD7
Entpd8	ENTPD8
Eny2	ENY2
Eogt	EOGT
Eomes	EOMES
Ep300	EP300
Ep400	EP400
Epas1	EPAS1
Epb41	EPB41
Epb41l1	EPB41L1
Epb41l2	EPB41L2
Epb41l3	EPB41L3
Epb41l4a	EPB41L4A
Epb41l4b	EPB41L4B
Epb41l5	EPB41L5
Epb42	EPB42
Epc1	EPC1
Epc2	EPC2
Epcam	EPCAM
Epdr1	EPDR1
Epg5	EPG5
Epgn	EPGN
Epha1	EPHA1
Epha10	EPHA10
Epha2	EPHA2
Epha3	EPHA3
Epha4	EPHA4
Epha5	EPHA5
Epha6	EPHA6
Epha7	EPHA7
Epha8	EPHA8
Ephb1	EPHB1
Ephb2	EPHB2
Ephb3	EPHB3
Ephb4	EPHB4
Ephb6	EPHB6
Ephx1	EPHX1
Ephx2	EPHX2
Ephx3	EPHX3
Ephx4	EPHX4
Epm2a	EPM2A
Epm2aip1	EPM2AIP1
Epn1	EPN1
Epn2	EPN2
Epn3	EPN3
Epo	EPO
Epop	EPOP
Epor	EPOR
Epp13	EDDM13
Eppin	EPPIN
Eppk1	EPPK1
Eprs	EPRS
Eps15	EPS15
Eps15l1	EPS15L1
Eps8	EPS8
Eps8l1	EPS8L1
Eps8l2	EPS8L2
Eps8l3	EPS8L3
Epsti1	EPSTI1
Epx	EPX
Epyc	EPYC
Eqtn	EQTN
Eral1	ERAL1
Erap1	ERAP1
Eras	ERAS
Erbb2	ERBB2
Erbb3	ERBB3
Erbb4	ERBB4
Erbin	ERBIN
Erc1	ERC1
Erc2	ERC2
Ercc1	ERCC1
Ercc2	ERCC2
Ercc3	ERCC3
Ercc4	ERCC4
Ercc5	ERCC5
Ercc6	ERCC6
Ercc6l	ERCC6L
Ercc6l2	ERCC6L2
Ercc8	ERCC8
Ereg	EREG
Erf	ERF
Erfe	ERFE
Erg	ERG
Erg28	ERG28
Ergic1	ERGIC1
Ergic2	ERGIC2
Ergic3	ERGIC3
Erh	ERH
Eri1	ERI1
Eri2	ERI2
Eri3	ERI3
Erich1	ERICH1
Erich2	ERICH2
Erich3	ERICH3
Erich4	ERICH4
Erich5	ERICH5
Erich6	ERICH6
Erich6b	ERICH6B
Erlec1	ERLEC1
Erlin1	ERLIN1
Erlin2	ERLIN2
Ermap	ERMAP
Ermard	ERMARD
Ermn	ERMN
Ermp1	ERMP1
Ern1	ERN1
Ern2	ERN2
Ero1l	ERO1A
Ero1lb	ERO1B
Erp27	ERP27
Erp29	ERP29
Erp44	ERP44
Errfi1	ERRFI1
Esam	ESAM
Esco1	ESCO1
Esco2	ESCO2
Esd	ESD
Esf1	ESF1
Esm1	ESM1
Espl1	ESPL1
Espn	ESPN
Espnl	ESPNL
Esr1	ESR1
Esr2	ESR2
Esrp1	ESRP1
Esrp2	ESRP2
Esrra	ESRRA
Esrrb	ESRRB
Esrrg	ESRRG
Esx1	ESX1
Esyt1	ESYT1
Esyt2	ESYT2
Esyt3	ESYT3
Etaa1	ETAA1
Etd	ETDA
Etf1	ETF1
Etfa	ETFA
Etfb	ETFB
Etfbkmt	ETFBKMT
Etfdh	ETFDH
Etfrf1	ETFRF1
Ethe1	ETHE1
Etl4	KIAA1217
Etnk1	ETNK1
Etnk2	ETNK2
Etnppl	ETNPPL
Ets1	ETS1
Ets2	ETS2
Etv1	ETV1
Etv2	ETV2
Etv3	ETV3
Etv3l	ETV3L
Etv4	ETV4
Etv5	ETV5
Etv6	ETV6
Eva1a	EVA1A
Eva1b	EVA1B
Eva1c	EVA1C
Evc	EVC
Evc2	EVC2
Evi2a	EVI2A
Evi2b	EVI2B
Evi5	EVI5
Evi5l	EVI5L
Evl	EVL
Evpl	EVPL
Evx1	EVX1
Evx2	EVX2
Ewsr1	EWSR1
Exd1	EXD1
Exd2	EXD2
Exo1	EXO1
Exo5	EXO5
Exoc1	EXOC1
Exoc2	EXOC2
Exoc3	EXOC3
Exoc3l	EXOC3L1
Exoc3l2	EXOC3L2
Exoc3l4	EXOC3L4
Exoc4	EXOC4
Exoc5	EXOC5
Exoc6	EXOC6
Exoc6b	EXOC6B
Exoc7	EXOC7
Exoc8	EXOC8
Exog	EXOG
Exosc1	EXOSC1
Exosc10	EXOSC10
Exosc2	EXOSC2
Exosc3	EXOSC3
Exosc4	EXOSC4
Exosc5	EXOSC5
Exosc6	EXOSC6
Exosc7	EXOSC7
Exosc8	EXOSC8
Exosc9	EXOSC9
Exph5	EXPH5
Ext1	EXT1
Ext2	EXT2
Extl1	EXTL1
Extl2	EXTL2
Extl3	EXTL3
Eya1	EYA1
Eya2	EYA2
Eya3	EYA3
Eya4	EYA4
Ezh1	EZH1
Ezh2	EZH2
Ezr	EZR
F10	F10
F11	F11
F11r	F11R
F12	F12
F13a1	F13A1
F13b	F13B
F2	F2
F2r	F2R
F2rl1	F2RL1
F2rl2	F2RL2
F2rl3	F2RL3
F3	F3
F5	F5
F7	F7
F8	F8
F830045P16Rik	SIRPB3P
F8a	F8A1
F9	F9
Fa2h	FA2H
Faah	FAAH
